series_id,family,subgroup,n_points,n_positive,rel_vus_pr,full_vus_pr,delta_vus_pr,eligible,positive_pool,nonpositive_pool,positive_median_target,positive_distance,nonpositive_median_target,nonpositive_distance,delta_rank_ascending,delta_rank_descending,positive_selection_rank,nonpositive_selection_rank
YAHOOA2__synthetic_2,Yahoo,Yahoo-A2,1421,9,0.7973732737811399,0.8128607444989484,0.015487470717808538,True,True,False,0.029174905161014897,0.013687434443206359,-0.0154133437016728,,278,211,80.0,
YAHOOA2__synthetic_20,Yahoo,Yahoo-A2,1421,9,0.8456762270557078,0.8777770798694501,0.03210085281374231,True,True,False,0.029174905161014897,0.002925947652727412,-0.0154133437016728,,329,160,12.0,
YAHOOA2__synthetic_21,Yahoo,Yahoo-A2,1421,1,0.5305769393343555,0.5761960847010548,0.04561914536669931,True,True,False,0.029174905161014897,0.016444240205684413,-0.0154133437016728,,364,125,95.0,
YAHOOA2__synthetic_22,Yahoo,Yahoo-A2,1421,4,0.5874033053371154,0.7066763195963047,0.11927301425918935,True,True,False,0.029174905161014897,0.09009810909817445,-0.0154133437016728,,440,49,280.0,
YAHOOA2__synthetic_23,Yahoo,Yahoo-A2,1421,9,0.8101385458253831,0.8887937873579268,0.07865524153254366,True,True,False,0.029174905161014897,0.049480336371528766,-0.0154133437016728,,414,75,254.0,
YAHOOA2__synthetic_24,Yahoo,Yahoo-A2,1421,1,0.7247622709281097,0.66138028294482,-0.06338198798328976,True,False,True,0.029174905161014897,,-0.0154133437016728,0.04796864428161696,35,454,,126.0
YAHOOA2__synthetic_25,Yahoo,Yahoo-A2,1421,4,0.6755971850174486,0.8423387419749438,0.16674155695749526,True,True,False,0.029174905161014897,0.13756665179648037,-0.0154133437016728,,461,28,301.0,
YAHOOA2__synthetic_26,Yahoo,Yahoo-A2,1421,9,0.8690956242938022,0.7964001839940767,-0.07269544029972541,True,False,True,0.029174905161014897,,-0.0154133437016728,0.05728209659805261,30,459,,131.0
YAHOOA2__synthetic_27,Yahoo,Yahoo-A2,1421,1,0.4520564209513132,0.6122539969637724,0.16019757601245915,True,True,False,0.029174905161014897,0.13102267085144426,-0.0154133437016728,,459,30,299.0,
YAHOOA2__synthetic_28,Yahoo,Yahoo-A2,1421,4,0.640855482134751,0.8785436426947906,0.2376881605600396,True,True,False,0.029174905161014897,0.2085132553990247,-0.0154133437016728,,478,11,318.0,
YAHOOA2__synthetic_29,Yahoo,Yahoo-A2,1421,9,0.6733932683967829,0.806955043315529,0.1335617749187461,True,True,False,0.029174905161014897,0.1043868697577312,-0.0154133437016728,,450,39,290.0,
YAHOOA2__synthetic_3,Yahoo,Yahoo-A2,1421,1,0.5162941616792179,0.5958812466302557,0.07958708495103772,True,True,False,0.029174905161014897,0.050412179790022826,-0.0154133437016728,,415,74,255.0,
YAHOOA2__synthetic_30,Yahoo,Yahoo-A2,1421,1,0.4737256888936589,0.5849741823888275,0.11124849349516858,True,True,False,0.029174905161014897,0.08207358833415368,-0.0154133437016728,,435,54,275.0,
YAHOOA2__synthetic_31,Yahoo,Yahoo-A2,1421,4,0.5457996889424297,0.6919310310510655,0.14613134210863576,True,True,False,0.029174905161014897,0.11695643694762087,-0.0154133437016728,,455,34,295.0,
YAHOOA2__synthetic_32,Yahoo,Yahoo-A2,1421,9,0.79923572536199,0.8570240589594532,0.05778833359746327,True,True,False,0.029174905161014897,0.028613428436448374,-0.0154133437016728,,384,105,206.0,
YAHOOA2__synthetic_33,Yahoo,Yahoo-A2,1421,1,0.5923590766478596,0.448549770102851,-0.14380930654500856,True,False,True,0.029174905161014897,,-0.0154133437016728,0.12839596284333576,12,477,,149.0
YAHOOA2__synthetic_34,Yahoo,Yahoo-A2,1421,4,0.6894975058769581,0.7987048696918592,0.10920736381490104,True,True,False,0.029174905161014897,0.08003245865388614,-0.0154133437016728,,431,58,271.0,
